app,location,contact,content,calendar,network,device Id,phone state,touchSizeWcag,ActiveViewName,ImageViewName,editTextValue,rating,,
castify.roku,1,0,4,0,5,0,0,6,12,1,,4.3,,
castwebbrowsertotv.castwebvideo.webvideocaster,0,0,4,0,5,0,0,0,0,0,,4.3,,
cn.ubia.ubox,2,1,5,0,5,1,1,7,7,0,,3,,
co.bitfinder.awair,1,0,4,0,2,0,0,6,4,3,,3.5,,
co.sonofy.smartroomsolutions,1,1,0,1,4,1,2,7+3+2,3+5,1,,3.5,,
com.abb.energyviewer,2,0,4,0,5,0,0,10,2,0,,3,,
com.adt.pulse,0,0,4,0,2,0,0,0,0,0,,4.5,,
com.alarm.alarmmobile.android.guardian,2,2,4,0,5,1,1,4,0,0,,4,,
com.allocacoc.smart,2,0,4,0,6,0,0,2,1,1,,4.1,,
com.angelcam,0,0,4,0,3,0,0,1,,,,4.3,,
com.bosch.indegoconnect,2,0,0,0,3,0,1,2,9+6,1,,3,,
com.concept2.ergdata,1,0,0,0,2,0,0,5,2,2,,3,,
com.customsolutions.android.alexa,1,0,4,0,3,1,1,2,0,0,,3.8,,
com.datadudu.ubibot,3,0,5,0,5,1,1,17+10+3+2+8,1,0,,4.1,,
com.ezviz,2,0,5,0,6,0,0,x,x,x,,3.8,,
com.fibaro.homecenter,2,0,4,0,2,0,0,x,x,x,,2.2,,
com.govee.home,2,0,4,0,5,0,0,17,20,19,,4,,
com.hubble.care,1,1,4,0,6,1,1,6,1,1,,4.1,,
com.hunter.hunterWifiConnectAndroid,2,0,4,0,6,0,0,4,7,,,1.8,,
com.ilifesmart.mslict_gp,3,0,5,0,6,1,2,x,x,x,,4.2,,
com.iruleav.nebula.android.prod,0,0,0,0,3,0,0,4,,,,4.6,,
com.jibo,2,2,4,0,4,0,0,1,2,2,,4.1,,
com.lgeha.nuts,2,3,4,0,6,1,2,x,x,x,,3.9,,
com.mm.android.direct.AmcrestViewPro,1,0,5,0,3,1,1,1,2,1,,3.7,,
com.mm.android.yale,2,1,5,0,5,1,1,2,,,,3.6,,
com.mobics.kuna,2,0,4,0,3,0,0,1,,,,3.5,,
com.netatmo.camera,2,2,4,0,6,0,0,x,,,,4.1,,
com.northstar.connect,2,0,4,0,5,0,0,8,20,4,2,3.4,,
com.safety1st.babymonitor,1,0,4,0,6,0,0,x,,,,2.3,,
com.schneider_electric.wiser2,0,0,4,0,3,0,0,1,1,0,,3.2,,
com.sensibo.app,2,0,4,0,5,0,0,x,,,,4,,
com.seventwentysoftware.powerzoneplus,0,1,4,0,2,0,0,0,,,,4.7,,
com.simplisafe.mobile,2,2,4,0,4,1,2,5,2,,,4.5,,
com.smarthvac,2,1,4,0,4,0,0,2,3,2,,3.6,,
com.smartroost.app,2,1,0,0,5,0,0,x,,,,2.6,,
com.sonova.hansaton.rcapp,2,0,0,0,2,0,0,0,,,,2.6,,
com.specialyg.ippro,3,1,5,0,6,1,2,10,2,1,,3.1,,
com.supremevue.ecobeewrap,2,0,4,0,2,1,1,0,1,1,,4.1,,
com.tplink.tpm5,2,0,4,0,6,0,0,4,1+11,11,,4.7,,
com.tuya.smart,2,0,4,0,6,0,0,8,3,3,1,3.8,,
com.velux.active,2,0,0,0,6,0,0,4,1,1,,3.6,,
com.vivitarsecurity.smart,2,0,4,0,6,0,0,2,1,1,,3.7,,
com.vuebell,2,1,4,0,6,1,1,15,14,7,,3,,
com.xvrview,3,0,4,0,5,1,1,1,22,0,,2.9,,
de.twokit.video.tv.cast.browser.firetv,0,0,4,0,4,0,0,0,1+7,0,,3,,
eu.hoermann.ast.bluesecur,2,1,4,0,2,0,0,2,1,0,,2.8,,
io.fireboard.android,2,0,4,0,4,0,0,7,1,,,4.2,,
no.easee.apps.easee.users,0,0,0,0,3,0,0,0,,,,3.9,,
xyz.angeldev.flux,0,0,0,0,3,0,0,1,,,,4.3,,
,0.517006803,0.142857143,0.681632653,0.010204082,0.717687075,0.306122449,0.06122449,,,,,,,
,,15,,1,,15,15,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,location,contact,content,calendar,network,device Id,phone state
,,,,,,,,0.52,0.14,0.68,0.01,0.72,0.3,0.06
