app,location,contact,content,calendar,network,device Id,phone state,
castify.roku, 1, 0, 4, 0, 5, 0, 0,
castwebbrowsertotv.castwebvideo.webvideocaster, 0, 0, 4, 0, 5, 0, 0,
cn.ubia.ubox, 2, 1, 5, 0, 5, 1, read phone status and identity,
co.bitfinder.awair, 1, 0, 4, 0, 2, 0, 0,
co.sonofy.smartroomsolutions, 1, 1, 0, 1, 4, 1, 2,
com.abb.energyviewer, 2, 0, 4, 0, 5, 0, 0,
com.adt.pulse, 0, 0, 4, 0, 2, 0, 0,
com.alarm.alarmmobile.android.guardian, 2, 2, 4, 0, 5, 1, read phone status and identity,
com.allocacoc.smart, 2, 0, 4, 0, 6, 0, 0,
com.angelcam, 0, 0, 4, 0, 3, 0, 0,
com.bosch.indegoconnect, 2, 0, 0, 0, 3, 0, directly call phone numbers,
com.concept2.ergdata, 1, 0, 0, 0, 2, 0, 0,
com.customsolutions.android.alexa, 1, 0, 4, 0, 3, 1, read phone status and identity,
com.datadudu.ubibot, 3, 0, 5, 0, 5, 1, read phone status and identity,
com.ezviz, 2, 0, 5, 0, 6, 0, 0,
com.fibaro.homecenter, 2, 0, 4, 0, 2, 0, 0,
com.govee.home, 2, 0, 4, 0, 5, 0, 0,
com.hubble.care, 1, 1, 4, 0, 6, 1, read phone status and identity,
com.hunter.hunterWifiConnectAndroid, 2, 0, 4, 0, 6, 0, 0,
com.ilifesmart.mslict_gp, 3, 0, 5, 0, 6, 1, 2,
com.iruleav.nebula.android.prod, 0, 0, 0, 0, 3, 0, 0,
com.jibo, 2, 2, 4, 0, 4, 0, 0,
com.lgeha.nuts, 2, 3, 4, 0, 6, 1, 2,
com.mm.android.direct.AmcrestViewPro, 1, 0, 5, 0, 3, 1, read phone status and identity,
com.mm.android.yale, 2, 1, 5, 0, 5, 1, read phone status and identity,
com.mobics.kuna, 2, 0, 4, 0, 3, 0, 0,
com.netatmo.camera, 2, 2, 4, 0, 6, 0, 0,
com.northstar.connect, 2, 0, 4, 0, 5, 0, 0,
com.safety1st.babymonitor, 1, 0, 4, 0, 6, 0, 0,
com.schneider_electric.wiser2, 0, 0, 4, 0, 3, 0, 0,
com.sensibo.app, 2, 0, 4, 0, 5, 0, 0,
com.seventwentysoftware.powerzoneplus, 0, 1, 4, 0, 2, 0, 0,
com.simplisafe.mobile, 2, 2, 4, 0, 4, 1, 2,
com.smarthvac, 2, 1, 4, 0, 4, 0, 0,
com.smartroost.app, 2, 1, 0, 0, 5, 0, 0,
com.sonova.hansaton.rcapp, 2, 0, 0, 0, 2, 0, 0,
com.specialyg.ippro, 3, 1, 5, 0, 6, 1, 2,
com.supremevue.ecobeewrap, 2, 0, 4, 0, 2, 1, read phone status and identity,
com.tplink.tpm5, 2, 0, 4, 0, 6, 0, 0,
com.tuya.smart, 2, 0, 4, 0, 6, 0, 0,
com.velux.active, 2, 0, 0, 0, 6, 0, 0,
com.vivitarsecurity.smart, 2, 0, 4, 0, 6, 0, 0,
com.vuebell, 2, 1, 4, 0, 6, 1, read phone status and identity,
com.xvrview, 3, 0, 4, 0, 5, 1, read phone status and identity,
de.twokit.video.tv.cast.browser.firetv, 0, 0, 4, 0, 4, 0, 0,
eu.hoermann.ast.bluesecur, 2, 1, 4, 0, 2, 0, 0,
io.fireboard.android, 2, 0, 4, 0, 4, 0, 0,
no.easee.apps.easee.users, 0, 0, 0, 0, 3, 0, 0,
xyz.angeldev.flux, 0, 0, 0, 0, 3, 0, 0,
app,location,contact,content,calendar,network,device Id,phone state,
castify.roku, 1, 0, 4, 0, 5, 0, 0,
castwebbrowsertotv.castwebvideo.webvideocaster, 0, 0, 4, 0, 5, 0, 0,
cn.ubia.ubox, 2, 1, 5, 0, 5, 1, read phone status and identity,
co.bitfinder.awair, 1, 0, 4, 0, 2, 0, 0,
co.sonofy.smartroomsolutions, 1, 1, 0, 1, 4, 1, 2,
com.abb.energyviewer, 2, 0, 4, 0, 5, 0, 0,
com.adt.pulse, 0, 0, 4, 0, 2, 0, 0,
com.alarm.alarmmobile.android.guardian, 2, 2, 4, 0, 5, 1, read phone status and identity,
com.allocacoc.smart, 2, 0, 4, 0, 6, 0, 0,
com.angelcam, 0, 0, 4, 0, 3, 0, 0,
com.bosch.indegoconnect, 2, 0, 0, 0, 3, 0, directly call phone numbers,
com.concept2.ergdata, 1, 0, 0, 0, 2, 0, 0,
com.customsolutions.android.alexa, 1, 0, 4, 0, 3, 1, read phone status and identity,
com.datadudu.ubibot, 3, 0, 5, 0, 5, 1, read phone status and identity,
com.ezviz, 2, 0, 5, 0, 6, 0, 0,
com.fibaro.homecenter, 2, 0, 4, 0, 2, 0, 0,
com.govee.home, 2, 0, 4, 0, 5, 0, 0,
com.hubble.care, 1, 1, 4, 0, 6, 1, read phone status and identity,
com.hunter.hunterWifiConnectAndroid, 2, 0, 4, 0, 6, 0, 0,
com.ilifesmart.mslict_gp, 3, 0, 5, 0, 6, 1, 2,
com.iruleav.nebula.android.prod, 0, 0, 0, 0, 3, 0, 0,
com.jibo, 2, 2, 4, 0, 4, 0, 0,
com.lgeha.nuts, 2, 3, 4, 0, 6, 1, 2,
com.mm.android.direct.AmcrestViewPro, 1, 0, 5, 0, 3, 1, read phone status and identity,
com.mm.android.yale, 2, 1, 5, 0, 5, 1, read phone status and identity,
com.mobics.kuna, 2, 0, 4, 0, 3, 0, 0,
com.netatmo.camera, 2, 2, 4, 0, 6, 0, 0,
com.northstar.connect, 2, 0, 4, 0, 5, 0, 0,
com.safety1st.babymonitor, 1, 0, 4, 0, 6, 0, 0,
com.schneider_electric.wiser2, 0, 0, 4, 0, 3, 0, 0,
com.sensibo.app, 2, 0, 4, 0, 5, 0, 0,
com.seventwentysoftware.powerzoneplus, 0, 1, 4, 0, 2, 0, 0,
com.simplisafe.mobile, 2, 2, 4, 0, 4, 1, 2,
com.smarthvac, 2, 1, 4, 0, 4, 0, 0,
com.smartroost.app, 2, 1, 0, 0, 5, 0, 0,
com.sonova.hansaton.rcapp, 2, 0, 0, 0, 2, 0, 0,
com.specialyg.ippro, 3, 1, 5, 0, 6, 1, 2,
com.supremevue.ecobeewrap, 2, 0, 4, 0, 2, 1, read phone status and identity,
com.tplink.tpm5, 2, 0, 4, 0, 6, 0, 0,
com.tuya.smart, 2, 0, 4, 0, 6, 0, 0,
com.velux.active, 2, 0, 0, 0, 6, 0, 0,
com.vivitarsecurity.smart, 2, 0, 4, 0, 6, 0, 0,
com.vuebell, 2, 1, 4, 0, 6, 1, read phone status and identity,
com.xvrview, 3, 0, 4, 0, 5, 1, read phone status and identity,
de.twokit.video.tv.cast.browser.firetv, 0, 0, 4, 0, 4, 0, 0,
eu.hoermann.ast.bluesecur, 2, 1, 4, 0, 2, 0, 0,
io.fireboard.android, 2, 0, 4, 0, 4, 0, 0,
no.easee.apps.easee.users, 0, 0, 0, 0, 3, 0, 0,
xyz.angeldev.flux, 0, 0, 0, 0, 3, 0, 0,
